date,n,k,d,c,ccw,lambda,error_combined,dominance_case,color,weather_weight,atmospheric_weight
2024-05-20,2,4,7,0.7,0.7,0.5,0.272188,hybrid,purple,0.3,0.7
2024-05-20,2,4,7,0.8,0.8,0.5,0.27625,atmospheric_dominates,orange,0.2,0.8
2024-05-20,2,4,7,0.9,0.9,0.5,0.280313,atmospheric_dominates,orange,0.1,0.9
2024-05-20,2,4,7,1.0,1.0,0.5,0.284375,atmospheric_dominates,orange,0.0,1.0
2024-05-20,3,2,1,0.0,0.0,0.5,0.116667,weather_dominates,blue,1.0,0.0
2024-05-20,3,2,1,0.1,0.1,0.5,0.119167,weather_dominates,blue,0.9,0.1
2024-05-20,3,2,1,0.2,0.2,0.5,0.121667,weather_dominates,blue,0.8,0.2
2024-05-20,3,2,1,0.3,0.3,0.5,0.124167,hybrid,purple,0.7,0.3
2024-05-20,3,2,1,0.4,0.4,0.5,0.126667,hybrid,purple,0.6,0.4
2024-05-20,3,2,1,0.5,0.5,0.5,0.129167,hybrid,purple,0.5,0.5
2024-05-20,3,2,1,0.6,0.6,0.5,0.131667,hybrid,purple,0.4,0.6
2024-05-20,3,2,1,0.7,0.7,0.5,0.134167,hybrid,purple,0.3,0.7
2024-05-20,3,2,1,0.8,0.8,0.5,0.136667,atmospheric_dominates,orange,0.2,0.8
2024-05-20,3,2,1,0.9,0.9,0.5,0.139167,atmospheric_dominates,orange,0.1,0.9
2024-05-20,3,2,1,1.0,1.0,0.5,0.141667,atmospheric_dominates,orange,0.0,1.0
2024-05-20,3,2,2,0.0,0.0,0.5,0.1225,weather_dominates,blue,1.0,0.0
2024-05-20,3,2,2,0.1,0.1,0.5,0.125125,weather_dominates,blue,0.9,0.1
2024-05-20,3,2,2,0.2,0.2,0.5,0.12775,weather_dominates,blue,0.8,0.2
2024-05-20,3,2,2,0.3,0.3,0.5,0.130375,hybrid,purple,0.7,0.3
2024-05-20,3,2,2,0.4,0.4,0.5,0.133,hybrid,purple,0.6,0.4
2024-05-20,3,2,2,0.5,0.5,0.5,0.135625,hybrid,purple,0.5,0.5
2024-05-20,3,2,2,0.6,0.6,0.5,0.13825,hybrid,purple,0.4,0.6
2024-05-20,3,2,2,0.7,0.7,0.5,0.140875,hybrid,purple,0.3,0.7
2024-05-20,3,2,2,0.8,0.8,0.5,0.1435,atmospheric_dominates,orange,0.2,0.8
2024-05-20,3,2,2,0.9,0.9,0.5,0.146125,atmospheric_dominates,orange,0.1,0.9
2024-05-20,3,2,2,1.0,1.0,0.5,0.14875,atmospheric_dominates,orange,0.0,1.0
2024-05-20,3,2,3,0.0,0.0,0.5,0.128333,weather_dominates,blue,1.0,0.0
2024-05-20,3,2,3,0.1,0.1,0.5,0.131083,weather_dominates,blue,0.9,0.1
2024-05-20,3,2,3,0.2,0.2,0.5,0.133833,weather_dominates,blue,0.8,0.2
2024-05-20,3,2,3,0.3,0.3,0.5,0.136583,hybrid,purple,0.7,0.3
2024-05-20,3,2,3,0.4,0.4,0.5,0.139333,hybrid,purple,0.6,0.4
2024-05-20,3,2,3,0.5,0.5,0.5,0.142083,hybrid,purple,0.5,0.5
2024-05-20,3,2,3,0.6,0.6,0.5,0.144833,hybrid,purple,0.4,0.6
2024-05-20,3,2,3,0.7,0.7,0.5,0.147583,hybrid,purple,0.3,0.7
2024-05-20,3,2,3,0.8,0.8,0.5,0.150333,atmospheric_dominates,orange,0.2,0.8
2024-05-20,3,2,3,0.9,0.9,0.5,0.153083,atmospheric_dominates,orange,0.1,0.9
2024-05-20,3,2,3,1.0,1.0,0.5,0.155833,atmospheric_dominates,orange,0.0,1.0
2024-05-20,3,2,4,0.0,0.0,0.5,0.134167,weather_dominates,blue,1.0,0.0
2024-05-20,3,2,4,0.1,0.1,0.5,0.137042,weather_dominates,blue,0.9,0.1
